Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
31-35,Male,Los Angeles Rams,California,Other,North Macedonia,6-9,No,Yes,$100-$199,No,No,"Handball, Formula 1",Buffalo Bills,Cooper Kupp
41-50,Male,Detroit Lions,Michigan,Indiana,,25+,Yes,Yes,$200-$299,No,No,"Baseball,Basketball,Hockey",Buffalo Bills,Matt Stafford
16-20,Male,Minnesota Vikings,Minnesota,Other,UK,3-5,Yes,No,$0-$49,Yes,No,"Tennis,Soccer, Rugby (Union), Cricket",Buffalo Bills,Harrison Smith
26-30,Female,New Orleans Saints,Louisiana,Virginia,,10-14,Yes,Yes,$0-$49,Yes,No,Basketball,Buffalo Bills,
Under 16,Male,Cincinnati Bengals,Ohio,Ohio,,6-9,Yes,Yes,$300-$499,No,Yes,Hockey,Cincinnati Bengals,Ja'Marr Chase
26-30,Male,New England Patriots,Massachusetts,Connecticut,,15-19,No,No,$0-$49,No,No,"Basketball,Boxing",Tampa Bay Buccaneers,Tom Brady
41-50,Male,Denver Broncos,Colorado,Other,UK,25+,Yes,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,Justin Simmons
21-25,Male,New Orleans Saints,Louisiana,Kentucky,,20-24,Yes,No,$0-$49,No,No,None,Buffalo Bills,
16-20,Male,Seattle Seahawks,Washington,Other,Australia,6-9,No,Yes,$0-$49,No,No,"Rugby League, Rugby Union, College Football, Soccer",Los Angeles Chargers,Jordyn Brooks
41-50,Male,Baltimore Ravens,Maryland,Other,Scotland,15-19,No,Yes,$100-$199,Yes,Yes,"Soccer, Cricket, Mma, Boxing,",San Francisco 49ers,Lamar Jackson
31-35,Male,Pittsburgh Steelers,Pennsylvania,Other,Germany,10-14,No,Yes,$0-$49,Yes,No,Formula 1,Buffalo Bills,Tj Watt
31-35,Male,Los Angeles Chargers,California,Other,Canada,20-24,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball,Hockey",Los Angeles Chargers,Justin Herbert
21-25,Male,Baltimore Ravens,Maryland,Georgia,,10-14,No,Yes,$0-$49,No,Yes,Basketball,Buffalo Bills,Lamar Jackson
21-25,Male,New England Patriots,Massachusetts,Ohio,,15-19,Yes,Yes,$1000+,Yes,Yes,"Baseball,Basketball",Buffalo Bills,Mac Jones
26-30,Male,New England Patriots,Massachusetts,Massachusetts,,20-24,No,Yes,$0-$49,No,Yes,Disc Golf,Buffalo Bills,Matthew Judon
31-35,Male,Baltimore Ravens,Maryland,Florida,,15-19,Yes,Yes,$0-$49,No,Yes,None,Buffalo Bills,Lamar Jackson
31-35,Male,Minnesota Vikings,Minnesota,Pennsylvania,,25+,Yes,Yes,$100-$199,Yes,No,"Basketball,Hockey,Ufc",Buffalo Bills,Harrison Smith
16-20,Male,New Orleans Saints,Louisiana,Louisiana,,10-14,Yes,Yes,$100-$199,Yes,No,None,New Orleans Saints,Joe Burrow
Under 16,Male,Dallas Cowboys,Texas,New Jersey,,3-5,No,Yes,$0-$49,No,Yes,Baseball,Buffalo Bills,Micah Parsons
21-25,Male,New England Patriots,Massachusetts,New York,,10-14,Yes,Yes,$100-$199,No,Yes,Golf,New England Patriots,Cole Strange
26-30,Male,Minnesota Vikings,Minnesota,Other,Germany,10-14,No,Yes,$0-$49,No,No,"Basketball,Track And Field",Buffalo Bills,Dalvin Cook
26-30,Male,Pittsburgh Steelers,Pennsylvania,Maryland,,15-19,Yes,Yes,$100-$199,Yes,Yes,Hockey,Indianapolis Colts,Diontae Johnson
26-30,Male,New England Patriots,Massachusetts,Rhode Island,,15-19,No,No,$0-$49,No,Yes,"Baseball,Basketball,Hockey",New England Patriots,Matthew Slater
21-25,Male,Minnesota Vikings,Minnesota,Iowa,,10-14,Yes,Yes,$0-$49,No,Yes,Basketball,Los Angeles Chargers,Justin Jefferson
16-20,Female,Cincinnati Bengals,Ohio,Other,Finland,0-2,No,No,$0-$49,No,No,"Tennis,Soccer",Kansas City Chiefs,Joe Burrow
26-30,Male,Denver Broncos,Colorado,Florida,,15-19,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball,Golf",Buffalo Bills,Von Miller
51+,Male,Los Angeles Chargers,California,California,,25+,Yes,Yes,$100-$199,Yes,No,"Hockey,Cycling",Los Angeles Chargers,Austin Ekeler
31-35,Male,Tennessee Titans,Tennessee,Louisiana,,25+,Yes,Yes,$50-$99,Yes,Yes,Basketball,Tennessee Titans,Derrick Henry
26-30,Female,New England Patriots,Massachusetts,New York,,10-14,No,Yes,$0-$49,No,No,None,New England Patriots,
21-25,Male,New England Patriots,Massachusetts,Massachusetts,,10-14,No,Yes,$0-$49,No,Yes,"Baseball,Basketball",Kansas City Chiefs,Matthew Slater
36-40,Male,Los Angeles Chargers,California,California,,25+,Yes,No,$0-$49,No,No,Soccer,Los Angeles Chargers,Justin Herbert
26-30,Male,Denver Broncos,Colorado,Missouri,,15-19,No,Yes,$200-$299,Yes,Yes,Basketball,Denver Broncos,Pat Surtain Ii
